iter	MultiClass
0	1.000175426
1	0.9224217439
2	0.8591811361
3	0.8074205351
4	0.7639300006
5	0.7267431932
6	0.6948031641
7	0.6668722365
8	0.6422316955
9	0.6212355378
10	0.602242796
11	0.5852605717
12	0.570751191
13	0.5578347721
14	0.545921711
15	0.5356695038
16	0.5262440973
17	0.5178627113
18	0.51120483
19	0.5043396782
20	0.4981117561
21	0.492768446
22	0.4877372751
23	0.4832312485
24	0.4793277805
25	0.475888569
26	0.4721296431
27	0.4690284962
28	0.4662516389
29	0.4637681745
30	0.4614376605
31	0.4597597387
32	0.4581831915
33	0.4566094648
34	0.4547894991
35	0.4536094873
36	0.4523867623
37	0.451060211
38	0.4501075086
39	0.4493284779
40	0.4481300487
41	0.4473655263
42	0.4469045462
43	0.4459825468
44	0.4450937399
45	0.4442969974
46	0.4439308399
47	0.4431779372
48	0.4427471622
49	0.4420545685
50	0.4414845777
51	0.4412449995
52	0.4406877683
53	0.4404120079
54	0.4401805262
55	0.4398216926
56	0.4393668866
57	0.4391572406
58	0.4390051823
59	0.4386271218
60	0.4382596798
61	0.4380860147
62	0.4377092341
63	0.4374124348
64	0.4372587103
65	0.4370845172
66	0.4369646728
67	0.4367614669
68	0.4366203075
69	0.4364881808
70	0.4361959435
71	0.436032948
72	0.435822683
73	0.4356467724
74	0.435519656
75	0.435457518
76	0.4351632646
77	0.4350535273
78	0.4347724314
79	0.4345585128
80	0.4343149476
81	0.4341395476
82	0.4338624359
83	0.4337603752
84	0.4335585526
85	0.4333661742
86	0.4332216846
87	0.4331013477
88	0.4329937664
89	0.4328005519
90	0.4327357442
91	0.4325737195
92	0.4324169469
93	0.4322967759
94	0.4321319862
95	0.4320429751
96	0.4318833016
97	0.4316556018
98	0.4314919195
99	0.4313846324
100	0.4312066506
101	0.4311300813
102	0.4309927454
103	0.4308788114
104	0.4307014055
105	0.430601078
106	0.4304802269
107	0.4304234616
108	0.430244022
109	0.4301182392
110	0.4299828514
111	0.4298076121
112	0.429627101
113	0.4294871234
114	0.4293576704
115	0.4292348985
116	0.4291432134
117	0.4290267302
118	0.4289004531
119	0.4288405419
