iter	Passed	Remaining
0	13	13803
1	18	9329
2	23	7759
3	27	6951
4	32	6526
5	36	6124
6	41	5878
7	45	5695
8	50	5535
9	55	5469
10	59	5349
11	63	5233
12	67	5111
13	71	5016
14	75	4944
15	79	4892
16	83	4837
17	88	4813
18	92	4774
19	95	4701
20	99	4652
21	103	4593
22	107	4564
23	111	4542
24	115	4494
25	119	4460
26	122	4413
27	126	4385
28	130	4372
29	134	4349
30	138	4322
31	141	4284
32	145	4258
33	149	4237
34	152	4216
35	156	4188
36	160	4177
37	164	4167
38	168	4151
39	172	4137
40	176	4124
41	180	4111
42	183	4091
43	187	4073
44	191	4055
45	195	4048
46	199	4042
47	203	4029
48	207	4023
49	211	4025
50	215	4015
51	219	4002
52	222	3984
53	226	3970
54	230	3958
55	234	3948
56	237	3933
57	241	3918
58	244	3905
59	248	3892
60	252	3879
61	255	3869
62	259	3859
63	262	3844
64	266	3835
65	270	3824
66	274	3815
67	279	3825
68	283	3822
69	287	3817
70	291	3810
71	295	3803
72	299	3802
73	303	3792
74	306	3786
75	310	3777
76	314	3775
77	318	3769
78	323	3775
79	327	3770
80	331	3764
81	335	3756
82	339	3749
83	343	3741
84	347	3738
85	351	3734
86	355	3732
87	359	3725
88	363	3717
89	367	3713
90	370	3705
91	375	3704
92	379	3702
93	383	3698
94	387	3695
95	392	3691
96	396	3689
97	400	3687
98	404	3679
99	408	3675
100	412	3671
101	416	3666
102	420	3658
103	424	3655
104	428	3651
105	431	3642
106	435	3636
107	439	3633
108	443	3628
109	447	3623
110	451	3616
111	455	3612
112	459	3604
113	463	3601
114	467	3598
115	472	3597
116	475	3591
117	480	3588
118	483	3581
119	488	3581
120	492	3579
121	497	3577
122	501	3574
123	505	3569
124	509	3565
125	513	3559
126	516	3553
127	520	3549
128	524	3542
129	529	3541
130	533	3538
131	537	3534
132	541	3531
133	545	3525
134	549	3521
135	557	3539
136	561	3537
137	565	3532
138	569	3529
139	573	3523
140	577	3519
141	581	3512
142	584	3505
143	589	3502
144	592	3495
145	596	3491
146	600	3484
147	604	3482
148	609	3480
149	612	3473
150	617	3469
151	621	3465
152	625	3461
153	629	3457
154	633	3451
155	637	3447
156	640	3440
157	644	3434
158	648	3430
159	652	3427
160	657	3424
161	661	3420
162	665	3416
163	669	3413
164	673	3408
165	677	3403
166	681	3400
167	685	3395
168	690	3393
169	693	3387
170	698	3385
171	702	3380
172	706	3375
173	710	3372
174	714	3367
175	718	3364
176	723	3362
177	727	3357
178	732	3360
179	739	3366
180	743	3365
181	747	3360
182	751	3356
183	755	3352
184	759	3347
185	764	3344
186	768	3339
187	772	3337
188	778	3338
189	782	3334
190	785	3329
191	789	3323
192	794	3323
193	799	3320
194	802	3313
195	806	3307
196	810	3303
197	814	3299
198	818	3296
199	822	3289
200	826	3284
201	830	3282
202	834	3277
203	839	3273
204	843	3271
205	847	3265
206	851	3262
207	855	3256
208	859	3251
209	862	3244
210	866	3239
211	869	3232
212	873	3227
213	877	3222
214	880	3215
215	884	3210
216	888	3204
217	893	3204
218	896	3197
219	900	3192
220	904	3186
221	908	3182
222	911	3176
223	917	3177
224	921	3172
225	925	3168
226	929	3165
227	933	3160
228	937	3157
229	941	3153
230	945	3149
231	949	3143
232	953	3139
233	957	3134
234	961	3128
235	965	3124
236	969	3120
237	973	3115
238	976	3110
239	980	3105
240	984	3101
241	988	3095
242	993	3093
243	997	3089
244	1000	3084
245	1004	3078
246	1008	3073
247	1011	3068
248	1015	3062
249	1019	3057
250	1022	3051
251	1026	3046
252	1029	3040
253	1033	3035
254	1036	3029
255	1041	3026
256	1045	3023
257	1049	3017
258	1053	3013
259	1056	3007
260	1061	3005
261	1065	3000
262	1069	2996
263	1073	2992
264	1077	2987
265	1080	2982
266	1084	2978
267	1088	2973
268	1093	2970
269	1097	2967
270	1101	2962
271	1105	2958
272	1109	2954
273	1114	2952
274	1117	2946
275	1121	2941
276	1124	2935
277	1128	2931
278	1132	2925
279	1135	2920
280	1139	2915
281	1143	2912
282	1147	2907
283	1151	2902
284	1155	2898
285	1159	2894
286	1163	2889
287	1166	2884
288	1170	2879
289	1175	2878
290	1180	2876
291	1184	2871
292	1188	2866
293	1191	2862
294	1195	2857
295	1200	2854
296	1203	2849
297	1207	2844
298	1211	2839
299	1215	2835
300	1219	2831
301	1222	2826
302	1226	2821
303	1230	2816
304	1234	2812
305	1238	2808
306	1242	2805
307	1246	2800
308	1250	2795
309	1254	2792
310	1258	2787
311	1262	2783
312	1265	2778
313	1270	2774
314	1275	2772
315	1279	2768
316	1283	2764
317	1287	2760
318	1290	2755
319	1295	2752
320	1299	2748
321	1303	2744
322	1307	2739
323	1310	2735
324	1314	2730
325	1318	2726
326	1322	2722
327	1326	2718
328	1330	2714
329	1334	2710
330	1338	2705
331	1342	2701
332	1346	2696
333	1350	2692
334	1354	2688
335	1358	2685
336	1362	2681
337	1366	2677
338	1370	2672
339	1374	2668
340	1378	2664
341	1383	2661
342	1387	2657
343	1391	2653
344	1397	2653
345	1401	2649
346	1405	2644
347	1409	2640
348	1413	2635
349	1417	2632
350	1421	2628
351	1425	2624
352	1429	2620
353	1433	2616
354	1437	2612
355	1441	2608
356	1445	2604
357	1450	2600
358	1453	2595
359	1457	2591
360	1462	2588
361	1465	2583
362	1469	2579
363	1473	2575
364	1478	2571
365	1482	2568
366	1486	2564
367	1490	2559
368	1494	2555
369	1498	2551
370	1503	2548
371	1507	2545
372	1512	2541
373	1516	2538
374	1521	2535
375	1525	2532
376	1529	2528
377	1533	2523
378	1538	2520
379	1541	2515
380	1545	2511
381	1549	2506
382	1552	2501
383	1556	2497
384	1560	2492
385	1564	2487
386	1567	2482
387	1571	2478
388	1575	2474
389	1578	2469
390	1582	2465
391	1586	2460
392	1590	2456
393	1593	2451
394	1597	2446
395	1601	2443
396	1605	2438
397	1610	2435
398	1613	2431
399	1617	2426
400	1621	2421
401	1624	2417
402	1629	2413
403	1633	2409
404	1636	2404
405	1640	2400
406	1644	2395
407	1647	2390
408	1651	2386
409	1655	2381
410	1659	2377
411	1662	2373
412	1666	2368
413	1670	2364
414	1673	2359
415	1677	2355
416	1681	2351
417	1685	2346
418	1688	2341
419	1692	2337
420	1696	2332
421	1700	2328
422	1703	2323
423	1707	2319
424	1711	2315
425	1715	2310
426	1718	2306
427	1722	2302
428	1726	2298
429	1730	2294
430	1734	2289
431	1737	2284
432	1741	2280
433	1745	2276
434	1749	2272
435	1753	2268
436	1757	2263
437	1760	2259
438	1764	2254
439	1767	2249
440	1771	2245
441	1775	2241
442	1779	2237
443	1783	2232
444	1786	2228
445	1790	2224
446	1794	2219
447	1798	2216
448	1802	2211
449	1805	2207
450	1809	2202
451	1813	2198
452	1817	2194
453	1821	2190
454	1825	2186
455	1828	2181
456	1832	2177
457	1836	2173
458	1840	2169
459	1845	2166
460	1849	2162
461	1853	2158
462	1857	2153
463	1861	2150
464	1865	2146
465	1869	2142
466	1873	2138
467	1876	2133
468	1880	2128
469	1883	2124
470	1887	2119
471	1891	2116
472	1895	2111
473	1899	2107
474	1902	2103
475	1907	2099
476	1910	2095
477	1914	2091
478	1918	2086
479	1922	2082
480	1926	2078
481	1930	2074
482	1934	2070
483	1938	2066
484	1941	2062
485	1945	2057
486	1949	2053
487	1953	2049
488	1956	2044
489	1960	2040
490	1964	2036
491	1968	2032
492	1971	2027
493	1975	2023
494	1979	2019
495	1983	2015
496	1987	2011
497	1990	2006
498	1994	2002
499	1998	1998
500	2001	1993
501	2005	1989
502	2009	1985
503	2013	1981
504	2017	1977
505	2022	1974
506	2025	1969
507	2029	1965
508	2033	1961
509	2037	1958
510	2041	1953
511	2045	1949
512	2049	1945
513	2052	1941
514	2056	1936
515	2059	1932
516	2063	1927
517	2067	1923
518	2070	1918
519	2074	1914
520	2078	1911
521	2082	1907
522	2087	1903
523	2091	1899
524	2096	1896
525	2100	1893
526	2104	1888
527	2108	1884
528	2112	1880
529	2116	1876
530	2120	1872
531	2124	1869
532	2129	1865
533	2132	1861
534	2137	1857
535	2142	1854
536	2146	1850
537	2150	1846
538	2154	1842
539	2158	1838
